test_id,applicability,topic,decision_rule_ref
GEN-070,APPLICABLE_AUTOMATABLE,api,predicate:evaluate->topic:api
GEN-071,APPLICABLE_AUTOMATABLE,configurable,predicate:evaluate->topic:configurable
GEN-072,APPLICABLE_AUTOMATABLE,supply-chain,predicate:evaluate->topic:supply-chain
GEN-073,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-074,APPLICABLE_AUTOMATABLE,distributable,predicate:evaluate->topic:distributable
GEN-075,APPLICABLE_AUTOMATABLE,distributable,predicate:evaluate->topic:distributable
GEN-076,APPLICABLE_MANUAL,human-legal,predicate:evaluate->topic:human-legal
GEN-077,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-078,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-079,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-080,APPLICABLE_AUTOMATABLE,vendor,predicate:evaluate->topic:vendor
GEN-081,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-082,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-083,APPLICABLE_AUTOMATABLE,buildable,predicate:evaluate->topic:buildable
GEN-084,APPLICABLE_AUTOMATABLE,buildable,predicate:evaluate->topic:buildable
GEN-085,APPLICABLE_AUTOMATABLE,deployable,predicate:evaluate->topic:deployable
GEN-086,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-087,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-088,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-089,APPLICABLE_AUTOMATABLE,container,predicate:evaluate->topic:container
GEN-090,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-091,APPLICABLE_AUTOMATABLE,architecture-review,predicate:evaluate->topic:architecture-review
GEN-092,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-093,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-094,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-095,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-096,APPLICABLE_AUTOMATABLE,architecture-review,predicate:evaluate->topic:architecture-review
GEN-097,APPLICABLE_AUTOMATABLE,architecture-review,predicate:evaluate->topic:architecture-review
GEN-098,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-099,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-100,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-101,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-102,APPLICABLE_AUTOMATABLE,privacy,predicate:evaluate->topic:privacy
GEN-103,APPLICABLE_MANUAL,human,predicate:evaluate->topic:human
GEN-104,APPLICABLE_AUTOMATABLE,formal-methods,predicate:evaluate->topic:formal-methods
GEN-105,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-106,APPLICABLE_AUTOMATABLE,formal-methods,predicate:evaluate->topic:formal-methods
GEN-107,APPLICABLE_AUTOMATABLE,formal-methods,predicate:evaluate->topic:formal-methods
GEN-108,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-109,APPLICABLE_AUTOMATABLE,formal-methods,predicate:evaluate->topic:formal-methods
GEN-110,APPLICABLE_AUTOMATABLE,egress,predicate:evaluate->topic:egress
GEN-111,APPLICABLE_AUTOMATABLE,incident,predicate:evaluate->topic:incident
GEN-112,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-113,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-114,APPLICABLE_AUTOMATABLE,chaos,predicate:evaluate->topic:chaos
GEN-115,APPLICABLE_AUTOMATABLE,chaos,predicate:evaluate->topic:chaos
GEN-116,APPLICABLE_AUTOMATABLE,distributable,predicate:evaluate->topic:distributable
GEN-117,APPLICABLE_AUTOMATABLE,deployable,predicate:evaluate->topic:deployable
GEN-118,APPLICABLE_AUTOMATABLE,observability,predicate:evaluate->topic:observability
GEN-119,APPLICABLE_AUTOMATABLE,runtime-monitoring,predicate:evaluate->topic:runtime-monitoring
GEN-120,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-121,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-122,APPLICABLE_MANUAL,exploratory-manual,predicate:evaluate->topic:exploratory-manual
HIPAA-001,APPLICABLE_AUTOMATABLE,static-analysis,topic:static-analysis->probe:STATIC_ANALYSIS
HIPAA-002,APPLICABLE_AUTOMATABLE,static-analysis,topic:static-analysis->probe:STATIC_ANALYSIS
HIPAA-003,APPLICABLE_AUTOMATABLE,static-analysis,topic:static-analysis->probe:STATIC_ANALYSIS
HIPAA-004,APPLICABLE_AUTOMATABLE,static-analysis,topic:static-analysis->probe:STATIC_ANALYSIS
HIPAA-005,APPLICABLE_AUTOMATABLE,gui,topic:gui->probe:A11Y
HIPAA-006,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
HIPAA-007,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
HIPAA-008,APPLICABLE_AUTOMATABLE,runtime,topic:runtime->probe:SERVICE
HIPAA-009,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
HIPAA-010,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
HIPAA-011,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
HIPAA-012,APPLICABLE_AUTOMATABLE,api,topic:api->probe:API
HIPAA-013,APPLICABLE_AUTOMATABLE,api,topic:api->probe:API
HIPAA-014,SKIPPED_NOT_APPLICABLE,graphql-grpc,topic:graphql-grpc->probe:GRAPHQL_GRPC(absent)
HIPAA-015,SKIPPED_NOT_APPLICABLE,graphql-grpc,topic:graphql-grpc->probe:GRAPHQL_GRPC(absent)
HIPAA-016,APPLICABLE_AUTOMATABLE,api,topic:api->probe:API
HIPAA-017,APPLICABLE_AUTOMATABLE,api,topic:api->probe:API
HIPAA-018,APPLICABLE_AUTOMATABLE,supply-chain,topic:supply-chain->probe:SUPPLY_CHAIN
HIPAA-019,APPLICABLE_AUTOMATABLE,supply-chain,topic:supply-chain->probe:SUPPLY_CHAIN
HIPAA-020,APPLICABLE_AUTOMATABLE,supply-chain,topic:supply-chain->probe:SUPPLY_CHAIN
HIPAA-021,APPLICABLE_AUTOMATABLE,supply-chain,topic:supply-chain->probe:SUPPLY_CHAIN
HIPAA-022,APPLICABLE_AUTOMATABLE,supply-chain,topic:supply-chain->probe:SUPPLY_CHAIN
HIPAA-023,APPLICABLE_AUTOMATABLE,distributable,topic:distributable->probe:ARTIFACT
HIPAA-024,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
HIPAA-025,APPLICABLE_AUTOMATABLE,distributable,topic:distributable->probe:ARTIFACT
HIPAA-026,APPLICABLE_AUTOMATABLE,distributable,topic:distributable->probe:ARTIFACT
HIPAA-027,APPLICABLE_AUTOMATABLE,distributable,topic:distributable->probe:ARTIFACT
HIPAA-028,APPLICABLE_AUTOMATABLE,buildable,topic:buildable->probe:BUILDABLE
HIPAA-029,SKIPPED_NOT_APPLICABLE,container,topic:container->probe:CONTAINER(absent)
HIPAA-030,SKIPPED_NOT_APPLICABLE,container,topic:container->probe:CONTAINER(absent)
HIPAA-031,SKIPPED_NOT_APPLICABLE,container,topic:container->probe:CONTAINER(absent)
HIPAA-032,APPLICABLE_AUTOMATABLE,deployable,topic:deployable->probe:DEPLOYABLE
HIPAA-033,SKIPPED_NOT_APPLICABLE,infrastructure-as-code,topic:infrastructure-as-code->probe:IAC(absent)
HIPAA-034,SKIPPED_NOT_APPLICABLE,infrastructure-as-code,topic:infrastructure-as-code->probe:IAC(absent)
HIPAA-035,SKIPPED_NOT_APPLICABLE,container,topic:container->probe:CONTAINER(absent)
HIPAA-036,SKIPPED_NOT_APPLICABLE,infrastructure-as-code,topic:infrastructure-as-code->probe:IAC(absent)
HIPAA-037,APPLICABLE_AUTOMATABLE,auth,topic:auth->probe:AUTH
HIPAA-038,APPLICABLE_AUTOMATABLE,auth,topic:auth->probe:AUTH
HIPAA-039,APPLICABLE_AUTOMATABLE,auth,topic:auth->probe:AUTH
HIPAA-040,APPLICABLE_AUTOMATABLE,auth,topic:auth->probe:AUTH
HIPAA-041,APPLICABLE_AUTOMATABLE,auth,topic:auth->probe:AUTH
HIPAA-042,APPLICABLE_AUTOMATABLE,stateful,topic:stateful->probe:PERSISTENCE
HIPAA-043,APPLICABLE_AUTOMATABLE,auth,topic:auth->probe:AUTH
HIPAA-044,APPLICABLE_AUTOMATABLE,crypto,topic:crypto->probe:CRYPTO
HIPAA-045,APPLICABLE_AUTOMATABLE,crypto,topic:crypto->probe:CRYPTO
HIPAA-046,APPLICABLE_AUTOMATABLE,crypto,topic:crypto->probe:CRYPTO
HIPAA-047,APPLICABLE_AUTOMATABLE,configurable,topic:configurable->probe:CONFIGURABLE
HIPAA-048,APPLICABLE_AUTOMATABLE,keys,topic:keys->probe:KEYS
HIPAA-049,APPLICABLE_AUTOMATABLE,crypto,topic:crypto->probe:CRYPTO
HIPAA-050,APPLICABLE_AUTOMATABLE,input-validation,topic:input-validation->probe:API
HIPAA-051,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
HIPAA-052,APPLICABLE_AUTOMATABLE,output-encoding,topic:output-encoding->probe:INTERFACE
HIPAA-053,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
HIPAA-054,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
HIPAA-055,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
HIPAA-056,APPLICABLE_AUTOMATABLE,api,topic:api->probe:API
HIPAA-057,APPLICABLE_AUTOMATABLE,api,topic:api->probe:API
HIPAA-058,APPLICABLE_AUTOMATABLE,secrets,topic:secrets->probe:SECRETS
HIPAA-059,APPLICABLE_AUTOMATABLE,secret-scan,topic:secret-scan->probe:SECRET_SCAN
HIPAA-060,APPLICABLE_AUTOMATABLE,secret-scan,topic:secret-scan->probe:SECRET_SCAN
HIPAA-061,APPLICABLE_AUTOMATABLE,keys,topic:keys->probe:KEYS
HIPAA-062,APPLICABLE_AUTOMATABLE,secrets,topic:secrets->probe:SECRETS
HIPAA-063,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
HIPAA-064,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
HIPAA-065,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
HIPAA-066,APPLICABLE_AUTOMATABLE,api,topic:api->probe:API
HIPAA-067,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
HIPAA-068,APPLICABLE_AUTOMATABLE,observability,topic:observability->probe:OBSERVABILITY
HIPAA-069,APPLICABLE_AUTOMATABLE,stateful,topic:stateful->probe:PERSISTENCE
HIPAA-070,APPLICABLE_AUTOMATABLE,concurrency,topic:concurrency->probe:API
HIPAA-071,APPLICABLE_AUTOMATABLE,concurrency,topic:concurrency->probe:API
HIPAA-072,APPLICABLE_AUTOMATABLE,auth,topic:auth->probe:AUTH
HIPAA-073,APPLICABLE_AUTOMATABLE,architecture-review,topic:architecture-review->probe:ARCH_DOCS
HIPAA-074,APPLICABLE_AUTOMATABLE,architecture-review,topic:architecture-review->probe:ARCH_DOCS
HIPAA-075,APPLICABLE_AUTOMATABLE,architecture-review,topic:architecture-review->probe:ARCH_DOCS
HIPAA-076,APPLICABLE_AUTOMATABLE,observability,topic:observability->probe:OBSERVABILITY
HIPAA-077,APPLICABLE_AUTOMATABLE,audit-integrity,topic:audit-integrity->probe:AUDIT
HIPAA-078,APPLICABLE_AUTOMATABLE,observability,topic:observability->probe:OBSERVABILITY
HIPAA-079,APPLICABLE_AUTOMATABLE,siem-correlation,topic:siem-correlation->probe:OBSERVABILITY
HIPAA-080,APPLICABLE_AUTOMATABLE,siem-correlation,topic:siem-correlation->probe:OBSERVABILITY
HIPAA-081,APPLICABLE_AUTOMATABLE,data-protection,topic:data-protection->probe:PRIVACY
HIPAA-082,APPLICABLE_AUTOMATABLE,data-protection,topic:data-protection->probe:PRIVACY
HIPAA-083,APPLICABLE_AUTOMATABLE,egress,topic:egress->probe:EGRESS
HIPAA-084,APPLICABLE_AUTOMATABLE,privacy,topic:privacy->probe:PRIVACY
HIPAA-085,APPLICABLE_AUTOMATABLE,privacy,topic:privacy->probe:PRIVACY
HIPAA-086,APPLICABLE_AUTOMATABLE,configurable,topic:configurable->probe:CONFIGURABLE
HIPAA-087,APPLICABLE_AUTOMATABLE,secrets,topic:secrets->probe:SECRETS
HIPAA-088,APPLICABLE_AUTOMATABLE,configurable,topic:configurable->probe:CONFIGURABLE
HIPAA-089,APPLICABLE_AUTOMATABLE,availability,topic:availability->probe:RECOVERY
HIPAA-090,APPLICABLE_AUTOMATABLE,availability,topic:availability->probe:RECOVERY
HIPAA-091,APPLICABLE_AUTOMATABLE,api,topic:api->probe:API
HIPAA-092,SKIPPED_NOT_APPLICABLE,host-platform,topic:host-platform->probe:CONTAINER(absent)
HIPAA-093,APPLICABLE_AUTOMATABLE,incident,topic:incident->probe:INCIDENT
HIPAA-094,APPLICABLE_AUTOMATABLE,file-inclusion,topic:file-inclusion->probe:API
HIPAA-095,APPLICABLE_AUTOMATABLE,file-inclusion,topic:file-inclusion->probe:API
HIPAA-096,APPLICABLE_AUTOMATABLE,file-inclusion,topic:file-inclusion->probe:API
HIPAA-097,APPLICABLE_AUTOMATABLE,interface,topic:interface->probe:API
HIPAA-098,APPLICABLE_AUTOMATABLE,runtime,topic:runtime->probe:SERVICE
HIPAA-099,APPLICABLE_AUTOMATABLE,patch-update,topic:patch-update->probe:PATCH_UPDATE
HIPAA-100,APPLICABLE_AUTOMATABLE,architecture-review,topic:architecture-review->probe:ARCH_DOCS
HIPAA-101,APPLICABLE_AUTOMATABLE,distributable,topic:distributable->probe:ARTIFACT
HIPAA-102,APPLICABLE_AUTOMATABLE,vendor,topic:vendor->probe:VENDOR
HIPAA-103,APPLICABLE_AUTOMATABLE,supply-chain,topic:supply-chain->probe:SUPPLY_CHAIN
HIPAA-104,APPLICABLE_AUTOMATABLE,secrets,topic:secrets->probe:SECRETS
HIPAA-105,APPLICABLE_AUTOMATABLE,secret-scan,topic:secret-scan->probe:SECRET_SCAN
HIPAA-106,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,cloud-iam,topic:cloud-iam->probe:CLOUD_IAM(absent)
HIPAA-107,APPLICABLE_AUTOMATABLE,persistence,topic:persistence->probe:PERSISTENCE
HIPAA-108,SKIPPED_NOT_APPLICABLE,container,topic:container->probe:CONTAINER(absent)
HIPAA-109,SKIPPED_NOT_APPLICABLE,container,topic:container->probe:CONTAINER(absent)
HIPAA-110,SKIPPED_NOT_APPLICABLE,container,topic:container->probe:CONTAINER(absent)
HIPAA-111,SKIPPED_NOT_APPLICABLE,serverless,topic:serverless->probe:SERVERLESS(absent)
HIPAA-112,APPLICABLE_AUTOMATABLE,rate-limit,topic:rate-limit->probe:RATE_LIMIT
HIPAA-113,APPLICABLE_AUTOMATABLE,observability,topic:observability->probe:OBSERVABILITY
HIPAA-114,APPLICABLE_AUTOMATABLE,concurrency,topic:concurrency->probe:API
HIPAA-115,APPLICABLE_AUTOMATABLE,concurrency,topic:concurrency->probe:API
HIPAA-116,APPLICABLE_AUTOMATABLE,stateful,topic:stateful->probe:PERSISTENCE
HIPAA-117,APPLICABLE_AUTOMATABLE,auth,topic:auth->probe:AUTH
HIPAA-118,APPLICABLE_AUTOMATABLE,auth,topic:auth->probe:AUTH
HIPAA-119,APPLICABLE_AUTOMATABLE,availability,topic:availability->probe:RECOVERY
HIPAA-120,APPLICABLE_AUTOMATABLE,auth,topic:auth->probe:AUTH
HIPAA-121,SKIPPED_NOT_APPLICABLE,graphql-grpc,topic:graphql-grpc->probe:GRAPHQL_GRPC(absent)
HIPAA-122,SKIPPED_NOT_APPLICABLE,websocket,topic:websocket->probe:WEBSOCKET(absent)
HIPAA-123,APPLICABLE_AUTOMATABLE,stateful,topic:stateful->probe:PERSISTENCE
HIPAA-124,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,predicate:conditional->no-topic-match
HIPAA-125,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
SUP-001,APPLICABLE_AUTOMATABLE,,predicate:broadly-applicable
SUP-002,APPLICABLE_AUTOMATABLE,,predicate:broadly-applicable
SUP-003,APPLICABLE_AUTOMATABLE,distributable,topic:distributable->probe:ARTIFACT
SUP-004,APPLICABLE_AUTOMATABLE,buildable,topic:buildable->probe:BUILDABLE
SUP-005,APPLICABLE_AUTOMATABLE,versioned-stateful,topic:versioned-stateful->probe:STATEFUL_VERSIONED
SUP-006,APPLICABLE_AUTOMATABLE,stateful-distributed,topic:stateful-distributed->probe:PERSISTENCE
SUP-007,APPLICABLE_AUTOMATABLE,configurable,topic:configurable->probe:CONFIGURABLE
SUP-008,APPLICABLE_AUTOMATABLE,support-matrix,topic:support-matrix->probe:SUPPORT_MATRIX
SUP-009,APPLICABLE_AUTOMATABLE,,predicate:broadly-applicable
SUP-010,APPLICABLE_AUTOMATABLE,gui,topic:gui->probe:A11Y
SUP-011,APPLICABLE_AUTOMATABLE,runtime,topic:runtime->probe:SERVICE
SUP-012,APPLICABLE_AUTOMATABLE,service,topic:service->probe:SERVICE
SUP-013,APPLICABLE_AUTOMATABLE,deployable,topic:deployable->probe:DEPLOYABLE
SUP-014,APPLICABLE_AUTOMATABLE,multitenant,topic:multitenant->probe:TENANCY
SUP-015,APPLICABLE_AUTOMATABLE,gui-human,topic:gui-human->probe:HUMAN
